week	copies_ml	population	region	actuals.hospitalBeds.weeklyCovidAdmissions	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	actuals.newDeaths	admits_rolling10	beds_rolling10	icu_rolling10	deaths_rolling5	hosp_date	deaths_date	admits_later	beds_later	icu_later	deaths_later
2021-02-03	306.6883818724066	3,000,000-10,000,000	Nationwide	74301	95533	21363	3843	77043.18181818182	96054.27272727272	21593.272727272728	3325.8333333333335	2021-02-17	2021-03-03	52751.63636363636	68400.09090909091	15737.818181818182	1776.8333333333333
2021-02-10	227.66513655675453	3,000,000-10,000,000	Nationwide	64005	80714	18289	3254	65033.454545454544	81558.27272727272	18635.18181818182	3108.1666666666665	2021-02-24	2021-03-10	45372.545454545456	58491.27272727273	13172.636363636364	1347.3333333333333
2021-02-17	180.32363670018265	3,000,000-10,000,000	Nationwide	50422	69781	15561	2471	52751.63636363636	68400.09090909091	15737.818181818182	1916.5	2021-03-03	2021-03-17	39509.818181818184	49471.818181818184	11052.545454545454	1135.3333333333333
2021-02-24	183.085109305252	3,000,000-10,000,000	Nationwide	45164	58489	12869	3210	45372.545454545456	58491.27272727273	13172.636363636364	2146.6666666666665	2021-03-10	2021-03-24	35061.72727272727	43543.454545454544	9586.272727272728	1018.1666666666666
2021-03-03	194.2830234363145	3,000,000-10,000,000	Nationwide	37898	48897	10723	2369	39509.818181818184	49471.818181818184	11052.545454545454	1776.8333333333333	2021-03-17	2021-03-31	33365.545454545456	40740.09090909091	8671.09090909091	861.6666666666666
2021-03-10	189.28776361638583	3,000,000-10,000,000	Nationwide	34656	43315	9436	1474	35061.72727272727	43543.454545454544	9586.272727272728	1347.3333333333333	2021-03-24	2021-04-07	33490.90909090909	39991.90909090909	8327.09090909091	1038.3333333333333
2021-03-17	164.14209046099728	3,000,000-10,000,000	Nationwide	33079	41069	8670	1177	33365.545454545456	40740.09090909091	8671.09090909091	1135.3333333333333	2021-03-31	2021-04-14	35075.36363636364	40811.36363636364	8420.0	756.0
2021-03-24	181.43864888688503	3,000,000-10,000,000	Nationwide	33503	40599	8477	1590	33490.90909090909	39991.90909090909	8327.09090909091	1018.1666666666666	2021-04-07	2021-04-21	37076.0	42784.27272727273	8858.181818181818	716.5
2021-03-31	200.85212492026463	3,000,000-10,000,000	Nationwide	35344	41570	8482	1135	35075.36363636364	40811.36363636364	8420.0	861.6666666666666	2021-04-14	2021-04-28	39058.454545454544	44916.36363636364	9385.454545454546	690.3333333333334
2021-04-07	203.85811781084192	3,000,000-10,000,000	Nationwide	37562	44105	9000	2571	37076.0	42784.27272727273	8858.181818181818	1038.3333333333333	2021-04-21	2021-05-05	38967.818181818184	45016.09090909091	9659.90909090909	683.0
